StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q35,Q17_1,Q19_1,Q21_1,Q12,Q10,Q5,Q36,Q38,Q55,Q57,Q39,Q39
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter the 4-digit number provided in the e-mail containing the survey link,Please indicate the reason for your call.,Dilma's Socks cares about my needs as a customer,Dilma's Socks produces high-quality dependable socks,I have a favourable opinion of Dilma's Socks,Would you recommend Dilma's Socks to a friend?,Dilma's Socks only uses cotton farmed using what environmental practice?,Dilma's Socks is the only company to sell socks with what patented technology?,How old are you?,Please indicate your sex,"Last year, that is in (2018), what was your total household income from all sources, before taxes?",What is the last grade or class you completed in school?,Do you own an Electric Vehicle?,Does your home have a programmable thermostat?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32""}","{""ImportId"":""QID3""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID40""}","{""ImportId"":""QID20""}"
2017-02-03 20:08,2017-02-03 20:11,IP Address,173.242.184.17,100,194,TRUE,2017-02-03 20:08,ETHOE6854D,,,,,43.647995,-79.41770172,anonymous,EN,528,Customer Complaint,5,5,5,Yes,Moonlight Harvest,Socks that never get holes,43,Male,"$90,000 to less than $100,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,Yes
2017-02-06 15:13,2017-02-06 15:16,IP Address,173.242.184.17,100,176,TRUE,2017-02-06 15:13,OMZHW9143A,,,,,43.647995,-79.41770172,anonymous,EN,207,Other,5,5,5,No,Hydroponics,Socks that never get holes,57,Female,"$75,000 to less than $90,000","None, or grade 1-8",No,No
2017-02-09 9:49,2017-02-09 9:53,IP Address,173.242.184.17,100,207,TRUE,2017-02-09 9:49,IPPLR4093C,,,,,43.647995,-79.41770172,anonymous,EN,5936,Customer Complaint,3,4,4,No,Organic,Anti-sweat technology,43,Male,"$100,000 to less than $150,000",Secondary (high) school graduate,No,No
2017-02-09 9:36,2017-02-09 9:39,IP Address,173.242.184.17,100,177,TRUE,2017-02-09 9:36,QGXSU5310H,,,,,43.647995,-79.41770172,anonymous,EN,160682,"Socks didn't fit, calling to exchange",3,2,2,Yes,Moonlight Harvest,Anti-sweat technology,45,Female,"$40,000 to less than $75,000",College or other non-university certificate or diploma,No,Yes
2017-02-06 15:19,2017-02-06 15:22,IP Address,173.242.184.17,100,184,TRUE,2017-02-06 15:19,TLJUG7359L,,,,,43.647995,-79.41770172,anonymous,EN,59672,Customer Complaint,4,4,3,No,Hydroponics,Anti-sweat technology,57,Female,"$90,000 to less than $100,000",Registered Apprenticeship or other trades certificate or diploma,Yes,No
2017-02-06 23:57,2017-02-06 23:59,IP Address,173.242.184.17,100,129,TRUE,2017-02-06 23:57,HISAM3653R,,,,,43.647995,-79.41770172,anonymous,EN,841962,Questions about Dilma's Socks,6,6,6,Yes,Organic,Anti-sweat technology,37,Male,"$150,000 or more","University certificate, diploma, or degree",No,No
2017-02-08 21:45,2017-02-08 21:48,IP Address,173.242.184.17,100,165,TRUE,2017-02-08 21:45,KLNGZ3851B,,,,,43.647995,-79.41770172,anonymous,EN,170,Other,2,3,3,Yes,Organic,Sock bands that always stay up,59,Female,"$150,000 or more","University certificate, diploma, or degree",Yes,Yes
2017-02-09 8:56,2017-02-09 9:00,IP Address,173.242.184.17,100,204,TRUE,2017-02-09 8:56,DRTHU8664Q,,,,,43.647995,-79.41770172,anonymous,EN,1967,Questions about Dilma's Socks,6,5,5,No,Organic,Anti-sweat technology,67,Male,"$75,000 to less than $90,000","University certificate, diploma, or degree",Yes,Yes
